frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
26.16,10.84,0.70,10.84,0.70,-0.70,-0.74,-0.76,10.14,10.14,10.14
26.43,10.83,0.69,10.83,0.69,-0.70,-0.75,-0.77,10.13,10.13,10.14
26.69,10.82,0.69,10.82,0.69,-0.70,-0.76,-0.79,10.12,10.12,10.13
26.96,10.81,0.70,10.81,0.70,-0.70,-0.77,-0.81,10.11,10.11,10.12
27.23,10.81,0.70,10.81,0.70,-0.70,-0.78,-0.82,10.10,10.10,10.11
27.50,10.80,0.71,10.80,0.71,-0.71,-0.79,-0.84,10.09,10.09,10.10
27.77,10.80,0.72,10.80,0.72,-0.72,-0.80,-0.86,10.08,10.08,10.08
28.05,10.80,0.73,10.80,0.73,-0.73,-0.81,-0.87,10.07,10.07,10.07
28.33,10.80,0.75,10.80,0.75,-0.74,-0.81,-0.89,10.05,10.05,10.05
28.62,10.80,0.76,10.79,0.76,-0.76,-0.82,-0.90,10.04,10.04,10.04
28.90,10.79,0.77,10.79,0.77,-0.77,-0.83,-0.92,10.02,10.02,10.02
29.19,10.79,0.78,10.79,0.78,-0.78,-0.84,-0.93,10.01,10.01,10.01
29.48,10.78,0.79,10.78,0.79,-0.79,-0.84,-0.94,9.99,9.99,9.99
29.78,10.78,0.80,10.78,0.80,-0.80,-0.85,-0.95,9.98,9.98,9.98
30.08,10.77,0.81,10.77,0.81,-0.81,-0.86,-0.96,9.96,9.96,9.96
30.38,10.76,0.82,10.76,0.82,-0.82,-0.86,-0.97,9.95,9.95,9.94
30.68,10.76,0.83,10.76,0.83,-0.83,-0.87,-0.98,9.93,9.93,9.93
30.99,10.75,0.84,10.75,0.84,-0.84,-0.88,-0.99,9.91,9.91,9.91
31.30,10.74,0.85,10.74,0.85,-0.85,-0.88,-0.99,9.89,9.89,9.89
31.61,10.73,0.85,10.73,0.85,-0.86,-0.89,-1.00,9.87,9.87,9.87
31.93,10.72,0.86,10.72,0.86,-0.87,-0.89,-1.00,9.85,9.85,9.85
32.24,10.71,0.88,10.71,0.88,-0.88,-0.90,-1.01,9.83,9.83,9.83
32.57,10.70,0.89,10.70,0.89,-0.89,-0.90,-1.01,9.81,9.81,9.81
32.89,10.69,0.90,10.69,0.90,-0.90,-0.91,-1.01,9.78,9.78,9.78
33.22,10.67,0.91,10.67,0.91,-0.91,-0.91,-1.01,9.76,9.76,9.76
33.55,10.66,0.93,10.66,0.92,-0.92,-0.92,-1.01,9.74,9.74,9.73
33.89,10.64,0.93,10.64,0.93,-0.93,-0.92,-1.01,9.71,9.71,9.71
34.23,10.63,0.94,10.63,0.94,-0.94,-0.93,-1.01,9.69,9.69,9.69
34.57,10.61,0.95,10.61,0.95,-0.95,-0.93,-1.00,9.67,9.67,9.67
34.92,10.60,0.95,10.60,0.95,-0.95,-0.94,-1.00,9.64,9.64,9.64
35.27,10.58,0.96,10.58,0.96,-0.96,-0.94,-1.00,9.62,9.62,9.62
35.62,10.56,0.96,10.56,0.96,-0.97,-0.95,-0.99,9.60,9.60,9.60
35.97,10.54,0.97,10.55,0.97,-0.97,-0.96,-0.99,9.57,9.57,9.57
36.33,10.53,0.98,10.53,0.98,-0.98,-0.96,-0.99,9.55,9.55,9.55
36.70,10.51,0.99,10.51,0.99,-0.99,-0.97,-0.98,9.52,9.52,9.52
37.06,10.49,1.00,10.49,1.00,-1.00,-0.97,-0.98,9.49,9.49,9.49
37.43,10.47,1.01,10.47,1.01,-1.01,-0.98,-0.97,9.46,9.46,9.46
37.81,10.46,1.02,10.46,1.02,-1.02,-0.98,-0.97,9.43,9.43,9.43
38.19,10.44,1.03,10.44,1.03,-1.03,-0.99,-0.97,9.41,9.41,9.41
38.57,10.42,1.04,10.42,1.04,-1.04,-1.00,-0.96,9.38,9.38,9.38
38.95,10.40,1.05,10.40,1.06,-1.05,-1.00,-0.96,9.35,9.35,9.35
39.34,10.39,1.07,10.39,1.06,-1.06,-1.01,-0.96,9.32,9.32,9.32
39.74,10.37,1.07,10.37,1.07,-1.07,-1.02,-0.96,9.30,9.30,9.30
40.14,10.35,1.08,10.35,1.08,-1.08,-1.02,-0.95,9.27,9.27,9.27
40.54,10.33,1.09,10.33,1.09,-1.09,-1.03,-0.95,9.24,9.24,9.24
40.94,10.30,1.09,10.30,1.09,-1.09,-1.04,-0.95,9.21,9.21,9.21
41.35,10.28,1.09,10.28,1.09,-1.09,-1.04,-0.95,9.19,9.19,9.19
41.76,10.25,1.10,10.26,1.10,-1.10,-1.05,-0.95,9.16,9.16,9.16
42.18,10.23,1.10,10.23,1.10,-1.10,-1.06,-0.96,9.13,9.13,9.13
42.60,10.21,1.10,10.21,1.10,-1.10,-1.07,-0.96,9.10,9.10,9.10
43.03,10.18,1.11,10.18,1.11,-1.11,-1.07,-0.96,9.08,9.08,9.08
43.46,10.16,1.11,10.16,1.11,-1.11,-1.08,-0.96,9.05,9.05,9.05
43.90,10.14,1.12,10.14,1.12,-1.12,-1.09,-0.97,9.02,9.02,9.02
44.33,10.12,1.12,10.12,1.12,-1.13,-1.10,-0.97,8.99,8.99,8.99
44.78,10.09,1.13,10.09,1.13,-1.14,-1.10,-0.98,8.96,8.96,8.96
45.23,10.07,1.15,10.07,1.14,-1.15,-1.11,-0.99,8.92,8.92,8.92
45.68,10.04,1.16,10.04,1.16,-1.16,-1.12,-0.99,8.89,8.89,8.89
46.13,10.02,1.17,10.02,1.17,-1.17,-1.13,-1.00,8.85,8.85,8.85
46.60,10.00,1.18,10.00,1.18,-1.18,-1.14,-1.01,8.82,8.82,8.81
47.06,9.98,1.20,9.98,1.20,-1.19,-1.15,-1.02,8.78,8.78,8.78
47.53,9.95,1.21,9.95,1.21,-1.20,-1.15,-1.03,8.75,8.75,8.74
48.01,9.93,1.22,9.93,1.22,-1.21,-1.16,-1.04,8.71,8.71,8.71
48.49,9.90,1.22,9.90,1.22,-1.22,-1.17,-1.05,8.68,8.68,8.68
48.97,9.87,1.23,9.87,1.23,-1.23,-1.18,-1.07,8.64,8.64,8.64
49.46,9.83,1.23,9.84,1.23,-1.24,-1.19,-1.08,8.60,8.60,8.61
49.96,9.80,1.24,9.80,1.24,-1.24,-1.20,-1.09,8.56,8.56,8.57
50.46,9.77,1.25,9.77,1.25,-1.25,-1.20,-1.10,8.53,8.53,8.53
50.96,9.75,1.25,9.75,1.25,-1.25,-1.21,-1.12,8.49,8.49,8.49
51.47,9.72,1.26,9.72,1.26,-1.26,-1.22,-1.13,8.46,8.46,8.45
51.99,9.68,1.27,9.68,1.27,-1.25,-1.23,-1.15,8.43,8.43,8.42
52.51,9.65,1.26,9.64,1.26,-1.25,-1.24,-1.16,8.39,8.39,8.38
53.03,9.60,1.26,9.60,1.26,-1.25,-1.25,-1.18,8.35,8.35,8.35
53.56,9.55,1.24,9.55,1.24,-1.25,-1.26,-1.19,8.31,8.31,8.31
54.10,9.51,1.23,9.51,1.23,-1.24,-1.26,-1.21,8.26,8.26,8.27
54.64,9.47,1.23,9.47,1.23,-1.25,-1.27,-1.22,8.22,8.22,8.24
55.18,9.43,1.24,9.44,1.24,-1.25,-1.28,-1.24,8.18,8.19,8.20
55.74,9.41,1.25,9.41,1.25,-1.26,-1.29,-1.25,8.16,8.15,8.16
56.29,9.39,1.28,9.39,1.27,-1.27,-1.30,-1.26,8.12,8.12,8.12
56.86,9.37,1.30,9.37,1.30,-1.29,-1.31,-1.28,8.09,8.08,8.08
57.42,9.35,1.31,9.35,1.31,-1.31,-1.32,-1.29,8.04,8.04,8.03
58.00,9.32,1.33,9.32,1.33,-1.33,-1.32,-1.30,7.99,7.99,7.99
58.58,9.29,1.34,9.29,1.34,-1.34,-1.33,-1.31,7.95,7.95,7.95
59.16,9.27,1.36,9.27,1.36,-1.36,-1.34,-1.33,7.91,7.91,7.91
59.76,9.24,1.37,9.24,1.37,-1.37,-1.35,-1.33,7.87,7.87,7.86
60.35,9.21,1.39,9.21,1.39,-1.38,-1.36,-1.34,7.83,7.83,7.82
60.96,9.18,1.40,9.18,1.40,-1.39,-1.37,-1.35,7.79,7.79,7.79
61.57,9.15,1.40,9.15,1.40,-1.40,-1.37,-1.36,7.75,7.75,7.75
62.18,9.11,1.41,9.11,1.41,-1.40,-1.38,-1.36,7.71,7.71,7.71
62.80,9.08,1.41,9.08,1.41,-1.41,-1.39,-1.37,7.67,7.67,7.67
63.43,9.04,1.41,9.04,1.41,-1.41,-1.40,-1.37,7.62,7.62,7.63
64.07,9.00,1.41,9.00,1.41,-1.42,-1.41,-1.37,7.58,7.58,7.58
64.71,8.96,1.42,8.96,1.42,-1.42,-1.41,-1.38,7.53,7.53,7.54
65.35,8.91,1.42,8.91,1.43,-1.43,-1.42,-1.38,7.49,7.49,7.49
66.01,8.87,1.43,8.87,1.43,-1.43,-1.43,-1.38,7.44,7.44,7.44
66.67,8.83,1.44,8.83,1.44,-1.44,-1.44,-1.38,7.39,7.39,7.39
67.33,8.79,1.45,8.79,1.45,-1.45,-1.45,-1.37,7.34,7.34,7.34
68.01,8.76,1.46,8.76,1.46,-1.46,-1.45,-1.37,7.29,7.29,7.30
68.69,8.72,1.47,8.72,1.47,-1.47,-1.46,-1.37,7.25,7.25,7.25
69.37,8.68,1.48,8.68,1.48,-1.48,-1.47,-1.36,7.20,7.20,7.20
70.07,8.64,1.49,8.64,1.49,-1.49,-1.48,-1.36,7.15,7.15,7.15
70.77,8.60,1.50,8.60,1.50,-1.50,-1.48,-1.36,7.10,7.10,7.10
71.48,8.56,1.51,8.56,1.51,-1.50,-1.49,-1.35,7.05,7.05,7.05
72.19,8.51,1.51,8.51,1.51,-1.51,-1.50,-1.35,7.00,7.00,7.00
72.91,8.47,1.51,8.47,1.51,-1.51,-1.50,-1.34,6.96,6.96,6.96
73.64,8.42,1.51,8.42,1.51,-1.51,-1.51,-1.34,6.91,6.91,6.91
74.38,8.38,1.51,8.38,1.51,-1.51,-1.52,-1.33,6.87,6.87,6.87
75.12,8.33,1.51,8.33,1.51,-1.51,-1.53,-1.33,6.82,6.82,6.82
75.87,8.28,1.51,8.28,1.51,-1.51,-1.53,-1.32,6.78,6.78,6.78
76.63,8.24,1.51,8.24,1.51,-1.51,-1.54,-1.32,6.73,6.73,6.73
77.40,8.19,1.50,8.19,1.51,-1.51,-1.55,-1.32,6.68,6.68,6.69
78.17,8.14,1.50,8.14,1.50,-1.51,-1.55,-1.32,6.64,6.64,6.64
78.95,8.10,1.51,8.10,1.51,-1.51,-1.56,-1.32,6.59,6.59,6.59
79.74,8.05,1.51,8.05,1.51,-1.51,-1.56,-1.31,6.54,6.54,6.54
80.54,8.00,1.52,8.00,1.52,-1.52,-1.57,-1.32,6.49,6.49,6.49
81.35,7.96,1.52,7.96,1.52,-1.52,-1.58,-1.32,6.43,6.43,6.43
82.16,7.91,1.53,7.91,1.53,-1.53,-1.58,-1.32,6.38,6.38,6.38
82.98,7.86,1.54,7.86,1.54,-1.54,-1.59,-1.32,6.32,6.32,6.32
83.81,7.80,1.55,7.80,1.55,-1.55,-1.59,-1.32,6.26,6.26,6.26
84.65,7.75,1.55,7.75,1.55,-1.55,-1.60,-1.33,6.19,6.20,6.20
85.50,7.69,1.56,7.69,1.56,-1.56,-1.61,-1.34,6.14,6.14,6.13
86.35,7.64,1.56,7.64,1.56,-1.56,-1.61,-1.34,6.08,6.08,6.08
87.22,7.58,1.56,7.58,1.56,-1.56,-1.62,-1.35,6.03,6.03,6.02
88.09,7.53,1.56,7.53,1.56,-1.55,-1.62,-1.36,5.98,5.98,5.97
88.97,7.48,1.55,7.48,1.55,-1.55,-1.63,-1.37,5.93,5.93,5.93
89.86,7.42,1.53,7.42,1.53,-1.54,-1.63,-1.38,5.88,5.88,5.89
90.76,7.36,1.52,7.36,1.52,-1.53,-1.64,-1.39,5.83,5.83,5.84
91.66,7.30,1.51,7.30,1.51,-1.52,-1.64,-1.40,5.78,5.78,5.79
92.58,7.24,1.51,7.24,1.50,-1.50,-1.65,-1.42,5.74,5.74,5.73
93.51,7.17,1.49,7.16,1.49,-1.46,-1.65,-1.43,5.70,5.70,5.68
94.44,7.08,1.46,7.08,1.46,-1.42,-1.66,-1.45,5.66,5.66,5.62
95.39,6.99,1.41,6.98,1.41,-1.38,-1.66,-1.47,5.61,5.61,5.57
96.34,6.88,1.36,6.88,1.36,-1.33,-1.67,-1.49,5.55,5.54,5.52
97.30,6.76,1.30,6.76,1.30,-1.30,-1.67,-1.50,5.47,5.46,5.47
98.28,6.66,1.24,6.66,1.24,-1.28,-1.67,-1.52,5.37,5.37,5.41
99.26,6.57,1.21,6.58,1.22,-1.29,-1.68,-1.54,5.28,5.29,5.36
100.25,6.53,1.23,6.54,1.24,-1.31,-1.68,-1.56,5.22,5.23,5.30
101.25,6.55,1.31,6.56,1.31,-1.36,-1.69,-1.59,5.19,5.20,5.24
102.27,6.61,1.42,6.61,1.42,-1.42,-1.69,-1.61,5.19,5.19,5.19
103.29,6.66,1.54,6.66,1.53,-1.49,-1.69,-1.63,5.18,5.17,5.13
104.32,6.70,1.63,6.69,1.62,-1.55,-1.70,-1.65,5.14,5.13,5.07
105.37,6.68,1.67,6.68,1.67,-1.61,-1.70,-1.67,5.07,5.07,5.01
106.42,6.64,1.69,6.64,1.69,-1.66,-1.70,-1.70,4.98,4.98,4.95
107.48,6.59,1.69,6.59,1.69,-1.69,-1.71,-1.72,4.90,4.90,4.90
108.56,6.53,1.69,6.53,1.69,-1.71,-1.71,-1.74,4.82,4.82,4.84
109.64,6.48,1.69,6.48,1.69,-1.72,-1.71,-1.76,4.76,4.76,4.79
110.74,6.44,1.70,6.45,1.71,-1.73,-1.72,-1.78,4.71,4.72,4.74
111.85,6.42,1.73,6.42,1.73,-1.74,-1.72,-1.80,4.68,4.68,4.69
112.97,6.40,1.76,6.40,1.76,-1.76,-1.72,-1.82,4.64,4.64,4.64
114.10,6.38,1.79,6.38,1.79,-1.79,-1.72,-1.84,4.59,4.59,4.59
115.24,6.35,1.82,6.35,1.82,-1.81,-1.73,-1.86,4.54,4.54,4.54
116.39,6.31,1.84,6.32,1.85,-1.84,-1.73,-1.87,4.48,4.48,4.47
117.55,6.27,1.88,6.27,1.87,-1.86,-1.73,-1.89,4.41,4.41,4.40
118.73,6.22,1.89,6.22,1.88,-1.87,-1.73,-1.90,4.35,4.35,4.33
119.92,6.16,1.89,6.16,1.89,-1.88,-1.73,-1.91,4.28,4.28,4.27
121.12,6.11,1.88,6.11,1.88,-1.88,-1.74,-1.92,4.23,4.23,4.23
122.33,6.06,1.87,6.06,1.88,-1.88,-1.74,-1.93,4.17,4.17,4.18
123.55,6.00,1.88,6.00,1.87,-1.88,-1.74,-1.93,4.12,4.12,4.13
124.79,5.95,1.88,5.95,1.88,-1.88,-1.74,-1.93,4.08,4.07,4.07
126.03,5.90,1.87,5.90,1.87,-1.87,-1.74,-1.94,4.03,4.03,4.03
127.29,5.85,1.87,5.85,1.87,-1.87,-1.74,-1.93,3.98,3.98,3.98
128.57,5.80,1.86,5.80,1.86,-1.87,-1.74,-1.93,3.93,3.93,3.94
129.85,5.75,1.86,5.75,1.87,-1.86,-1.74,-1.93,3.89,3.89,3.89
131.15,5.71,1.87,5.70,1.87,-1.86,-1.75,-1.92,3.85,3.85,3.84
132.46,5.65,1.87,5.65,1.86,-1.85,-1.75,-1.91,3.80,3.80,3.79
133.79,5.60,1.86,5.60,1.86,-1.85,-1.75,-1.90,3.75,3.75,3.74
135.12,5.54,1.85,5.54,1.85,-1.85,-1.75,-1.89,3.69,3.69,3.69
136.48,5.48,1.84,5.48,1.84,-1.86,-1.75,-1.88,3.62,3.62,3.64
137.84,5.42,1.85,5.42,1.85,-1.86,-1.75,-1.86,3.56,3.56,3.57
139.22,5.37,1.86,5.37,1.86,-1.87,-1.75,-1.85,3.50,3.50,3.50
140.61,5.32,1.88,5.32,1.88,-1.88,-1.74,-1.83,3.43,3.44,3.43
142.02,5.27,1.90,5.27,1.90,-1.89,-1.74,-1.81,3.38,3.38,3.37
143.44,5.23,1.91,5.23,1.91,-1.90,-1.74,-1.79,3.32,3.32,3.32
144.87,5.18,1.92,5.18,1.91,-1.91,-1.74,-1.78,3.28,3.28,3.27
146.32,5.14,1.91,5.14,1.91,-1.91,-1.74,-1.76,3.23,3.23,3.23
147.78,5.09,1.90,5.09,1.90,-1.90,-1.74,-1.74,3.19,3.19,3.18
149.26,5.03,1.89,5.03,1.89,-1.88,-1.73,-1.72,3.15,3.15,3.14
150.75,4.96,1.87,4.96,1.87,-1.86,-1.73,-1.70,3.10,3.10,3.09
152.26,4.88,1.84,4.88,1.83,-1.83,-1.73,-1.68,3.05,3.05,3.05
153.78,4.81,1.80,4.81,1.80,-1.81,-1.72,-1.67,3.00,3.00,3.01
155.32,4.73,1.76,4.73,1.76,-1.78,-1.72,-1.65,2.95,2.96,2.97
156.88,4.66,1.73,4.67,1.74,-1.75,-1.71,-1.63,2.92,2.92,2.93
158.44,4.61,1.71,4.61,1.71,-1.72,-1.71,-1.62,2.89,2.89,2.90
160.03,4.55,1.69,4.55,1.69,-1.69,-1.70,-1.60,2.87,2.86,2.86
161.63,4.49,1.67,4.49,1.67,-1.65,-1.69,-1.59,2.84,2.84,2.83
163.24,4.44,1.64,4.44,1.64,-1.62,-1.69,-1.57,2.81,2.81,2.80
164.88,4.38,1.60,4.38,1.60,-1.59,-1.68,-1.56,2.78,2.78,2.77
166.53,4.32,1.56,4.32,1.57,-1.57,-1.67,-1.55,2.75,2.75,2.75
168.19,4.26,1.53,4.26,1.53,-1.54,-1.66,-1.54,2.72,2.72,2.73
169.87,4.21,1.51,4.21,1.51,-1.52,-1.65,-1.53,2.69,2.69,2.70
171.57,4.15,1.49,4.15,1.50,-1.51,-1.64,-1.52,2.64,2.64,2.66
173.29,4.09,1.49,4.09,1.49,-1.50,-1.62,-1.52,2.59,2.59,2.60
175.02,4.03,1.50,4.03,1.50,-1.51,-1.61,-1.51,2.52,2.52,2.53
176.77,3.96,1.52,3.96,1.52,-1.52,-1.60,-1.51,2.44,2.44,2.44
178.54,3.89,1.53,3.89,1.53,-1.53,-1.59,-1.50,2.36,2.36,2.36
180.32,3.83,1.55,3.83,1.55,-1.55,-1.58,-1.50,2.28,2.28,2.28
182.13,3.77,1.57,3.77,1.57,-1.56,-1.58,-1.50,2.20,2.21,2.20
183.95,3.71,1.58,3.71,1.58,-1.58,-1.57,-1.50,2.13,2.13,2.13
185.79,3.66,1.59,3.66,1.59,-1.59,-1.57,-1.50,2.07,2.07,2.07
187.65,3.61,1.60,3.61,1.60,-1.60,-1.57,-1.50,2.01,2.01,2.01
189.52,3.56,1.61,3.56,1.61,-1.60,-1.57,-1.51,1.96,1.96,1.95
191.42,3.51,1.61,3.51,1.61,-1.60,-1.57,-1.51,1.91,1.91,1.90
193.33,3.45,1.61,3.45,1.61,-1.60,-1.58,-1.52,1.85,1.85,1.85
195.27,3.39,1.60,3.39,1.60,-1.59,-1.59,-1.52,1.80,1.80,1.79
197.22,3.33,1.59,3.33,1.59,-1.59,-1.60,-1.53,1.74,1.74,1.74
199.19,3.27,1.58,3.27,1.58,-1.58,-1.61,-1.54,1.68,1.68,1.69
201.18,3.21,1.57,3.21,1.57,-1.58,-1.62,-1.55,1.63,1.63,1.63
203.19,3.16,1.57,3.16,1.57,-1.58,-1.63,-1.56,1.57,1.57,1.59
205.23,3.12,1.58,3.12,1.58,-1.59,-1.64,-1.57,1.53,1.53,1.54
207.28,3.09,1.60,3.09,1.60,-1.61,-1.65,-1.58,1.48,1.48,1.49
209.35,3.07,1.62,3.07,1.62,-1.63,-1.66,-1.59,1.44,1.44,1.45
211.44,3.06,1.65,3.06,1.65,-1.65,-1.67,-1.60,1.41,1.41,1.41
213.56,3.04,1.68,3.04,1.68,-1.67,-1.67,-1.61,1.37,1.37,1.37
215.69,3.03,1.70,3.03,1.70,-1.70,-1.68,-1.62,1.33,1.33,1.32
217.85,3.01,1.73,3.01,1.72,-1.71,-1.68,-1.63,1.29,1.29,1.28
220.03,2.98,1.74,2.98,1.73,-1.73,-1.68,-1.64,1.25,1.25,1.24
222.23,2.94,1.73,2.94,1.74,-1.73,-1.68,-1.65,1.20,1.20,1.20
224.45,2.89,1.73,2.89,1.73,-1.73,-1.68,-1.65,1.16,1.16,1.16
226.70,2.84,1.72,2.84,1.73,-1.73,-1.67,-1.66,1.11,1.11,1.11
228.96,2.78,1.72,2.78,1.72,-1.71,-1.66,-1.67,1.07,1.07,1.07
231.25,2.72,1.70,2.72,1.70,-1.70,-1.66,-1.67,1.03,1.03,1.02
233.57,2.67,1.68,2.67,1.68,-1.68,-1.65,-1.67,0.99,0.99,0.99
235.90,2.61,1.65,2.61,1.65,-1.65,-1.63,-1.67,0.95,0.95,0.96
238.26,2.55,1.62,2.55,1.62,-1.63,-1.62,-1.67,0.92,0.92,0.93
240.64,2.49,1.60,2.49,1.60,-1.60,-1.61,-1.67,0.89,0.89,0.89
243.05,2.44,1.58,2.44,1.58,-1.58,-1.59,-1.67,0.86,0.86,0.86
245.48,2.38,1.56,2.38,1.55,-1.55,-1.58,-1.66,0.83,0.83,0.83
247.93,2.33,1.53,2.33,1.53,-1.53,-1.56,-1.65,0.80,0.80,0.80
250.41,2.27,1.50,2.27,1.50,-1.50,-1.54,-1.64,0.77,0.77,0.77
252.92,2.22,1.48,2.22,1.48,-1.48,-1.52,-1.63,0.74,0.74,0.74
255.45,2.16,1.46,2.16,1.45,-1.46,-1.50,-1.61,0.71,0.71,0.71
258.00,2.11,1.43,2.11,1.43,-1.43,-1.48,-1.59,0.67,0.67,0.68
260.58,2.06,1.41,2.06,1.41,-1.41,-1.45,-1.58,0.64,0.64,0.65
263.19,2.00,1.39,2.00,1.39,-1.39,-1.43,-1.55,0.61,0.61,0.61
265.82,1.95,1.37,1.95,1.37,-1.37,-1.41,-1.53,0.58,0.58,0.58
268.48,1.90,1.35,1.90,1.35,-1.35,-1.38,-1.51,0.55,0.55,0.55
271.16,1.85,1.33,1.85,1.33,-1.33,-1.36,-1.48,0.52,0.52,0.52
273.87,1.80,1.31,1.80,1.31,-1.31,-1.33,-1.45,0.49,0.49,0.49
276.61,1.75,1.28,1.75,1.28,-1.29,-1.31,-1.42,0.46,0.46,0.46
279.38,1.70,1.26,1.70,1.26,-1.26,-1.28,-1.39,0.43,0.43,0.43
282.17,1.65,1.24,1.65,1.24,-1.24,-1.25,-1.36,0.40,0.40,0.40
284.99,1.60,1.22,1.60,1.22,-1.22,-1.23,-1.32,0.38,0.38,0.37
287.84,1.55,1.20,1.55,1.20,-1.20,-1.20,-1.29,0.35,0.35,0.35
290.72,1.50,1.17,1.50,1.17,-1.17,-1.17,-1.25,0.32,0.32,0.32
293.63,1.45,1.15,1.45,1.15,-1.15,-1.14,-1.22,0.30,0.30,0.30
296.57,1.40,1.12,1.40,1.12,-1.13,-1.12,-1.18,0.27,0.27,0.28
299.53,1.35,1.10,1.35,1.10,-1.10,-1.09,-1.14,0.25,0.25,0.25
302.53,1.30,1.08,1.30,1.08,-1.08,-1.06,-1.10,0.23,0.23,0.23
305.55,1.26,1.05,1.26,1.05,-1.05,-1.03,-1.07,0.21,0.21,0.21
308.61,1.21,1.02,1.21,1.02,-1.02,-1.00,-1.03,0.19,0.19,0.19
311.69,1.16,1.00,1.16,1.00,-1.00,-0.98,-0.99,0.17,0.17,0.17
314.81,1.12,0.97,1.12,0.97,-0.97,-0.95,-0.95,0.15,0.15,0.15
317.96,1.07,0.95,1.07,0.95,-0.95,-0.92,-0.92,0.13,0.13,0.13
321.14,1.03,0.92,1.03,0.92,-0.92,-0.89,-0.88,0.11,0.11,0.11
324.35,0.98,0.89,0.98,0.89,-0.89,-0.86,-0.84,0.09,0.09,0.09
327.59,0.94,0.86,0.94,0.86,-0.86,-0.83,-0.80,0.08,0.08,0.08
330.87,0.90,0.83,0.90,0.83,-0.83,-0.81,-0.77,0.06,0.06,0.06
334.18,0.85,0.80,0.85,0.80,-0.81,-0.78,-0.73,0.05,0.05,0.05
337.52,0.81,0.78,0.81,0.78,-0.78,-0.75,-0.70,0.03,0.03,0.04
340.90,0.77,0.75,0.77,0.75,-0.75,-0.72,-0.66,0.02,0.02,0.02
344.30,0.73,0.72,0.73,0.72,-0.73,-0.69,-0.62,0.00,0.00,0.00
347.75,0.69,0.70,0.69,0.70,-0.70,-0.66,-0.59,-0.01,-0.01,-0.01
351.23,0.65,0.68,0.65,0.68,-0.67,-0.63,-0.56,-0.03,-0.03,-0.03
354.74,0.61,0.65,0.61,0.65,-0.65,-0.60,-0.52,-0.04,-0.04,-0.05
358.28,0.57,0.62,0.57,0.62,-0.62,-0.58,-0.49,-0.06,-0.06,-0.06
361.87,0.52,0.60,0.52,0.60,-0.59,-0.55,-0.45,-0.07,-0.07,-0.07
365.49,0.48,0.57,0.48,0.57,-0.57,-0.52,-0.42,-0.08,-0.08,-0.08
369.14,0.44,0.54,0.44,0.54,-0.54,-0.49,-0.39,-0.10,-0.10,-0.10
